Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,13.8471337748498,13.8442126445718,13.9835585749329,14.8957448696632,14.2530325041781,13.7137950311865,13.4338338893136,..
United States,USA,GNI (constant 2015 US$),NY.GNP.MKTP.KD,19309364277984,19885337126559.1,20388762914712.8,19837885138789.3,21071266931055.2,21649291694340.7,21968702199556.5,..
United States,USA,GNI (current LCU),NY.GNP.MKTP.CN,19837150000000,20883383000000,21764838000000,21458070000000,23832230000000,26231750000000,27576136000000,..
United States,USA,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,59391.1106474549,60841.5331726849,62098.3943999553,59837.9291820291,63458.3100403746,64959.9424966599,65594.879557556,..
United States,USA,Compensation of employees (% of expense),GC.XPN.COMP.ZS,9.60101713012538,9.48708161387348,9.2337357657645,6.95405625387693,6.64236648073864,7.93636101040609,8.03325036498118,..
United States,USA,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,..,..,..,..,..,..,..,..
United States,USA,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3389916000000,3645423000000,3685589000000,3114149000000,3619367000000,4223828000000,4448532000000,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,
